 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 30, 2022 
 ==================================================================

 Disk File Name = alpha_in_carbon01+oxygen02d0.422.srim.dat

 Ion = Helium       [2] , Mass = 4.002602 amu

 Density =  4.2203E-04 g/cm3 = 1.7325E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    027.29   
      O      8    066.67    072.71   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV/micron   
 See bottom of Table for other Stopping units 

 Ion = Helium       [2] , Mass = 4.002602 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.513E-03  5.657E-03   52.62 um    39.61 um    29.56 um  
   1.10 keV   4.734E-03  5.587E-03   57.57 um    42.62 um    31.86 um  
   1.20 keV   4.944E-03  5.516E-03   62.54 um    45.58 um    34.13 um  
   1.30 keV   5.146E-03  5.445E-03   67.52 um    48.48 um    36.37 um  
   1.40 keV   5.340E-03  5.373E-03   72.51 um    51.33 um    38.58 um  
   1.50 keV   5.528E-03  5.302E-03   77.52 um    54.13 um    40.76 um  
   1.60 keV   5.709E-03  5.232E-03   82.54 um    56.89 um    42.93 um  
   1.70 keV   5.885E-03  5.163E-03   87.56 um    59.61 um    45.06 um  
   1.80 keV   6.055E-03  5.095E-03   92.60 um    62.28 um    47.18 um  
   2.00 keV   6.383E-03  4.964E-03  102.71 um    67.46 um    51.38 um  
   2.25 keV   6.770E-03  4.809E-03  115.39 um    73.74 um    56.51 um  
   2.50 keV   7.136E-03  4.664E-03  128.10 um    79.83 um    61.53 um  
   2.75 keV   7.484E-03  4.527E-03  140.82 um    85.71 um    66.43 um  
   3.00 keV   7.817E-03  4.399E-03  153.55 um    91.42 um    71.23 um  
   3.25 keV   8.136E-03  4.279E-03  166.28 um    96.94 um    75.94 um  
