 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 30, 2022 
 ==================================================================

 Disk File Name = carbon_in_carbon01+oxygen02d0.422.srim.dat

 Ion = Carbon       [6] , Mass = 12.011 amu

 Density =  4.2203E-04 g/cm3 = 1.7325E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    027.29   
      O      8    066.67    072.71   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV/micron   
 See bottom of Table for other Stopping units 

 Ion = Carbon       [6] , Mass = 12.011 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    6.518E-03  3.094E-02   21.86 um    12.77 um     9.27 um  
   1.10 keV   6.836E-03  3.132E-02   23.52 um    13.61 um     9.88 um  
   1.20 keV   7.140E-03  3.164E-02   25.15 um    14.42 um    10.46 um  
   1.30 keV   7.431E-03  3.190E-02   26.77 um    15.23 um    11.04 um  
   1.40 keV   7.712E-03  3.212E-02   28.38 um    16.02 um    11.61 um  
   1.50 keV   7.983E-03  3.231E-02   29.99 um    16.81 um    12.17 um  
   1.60 keV   8.244E-03  3.246E-02   31.58 um    17.58 um    12.72 um  
   1.70 keV   8.498E-03  3.259E-02   33.16 um    18.34 um    13.27 um  
   1.80 keV   8.744E-03  3.269E-02   34.74 um    19.10 um    13.80 um  
   2.00 keV   9.217E-03  3.284E-02   37.88 um    20.58 um    14.87 um  
   2.25 keV   9.777E-03  3.294E-02   41.79 um    22.40 um    16.17 um  
   2.50 keV   1.031E-02  3.297E-02   45.68 um    24.19 um    17.44 um  
   2.75 keV   1.081E-02  3.294E-02   49.55 um    25.96 um    18.68 um  
   3.00 keV   1.129E-02  3.287E-02   53.42 um    27.69 um    19.91 um  
   3.25 keV   1.175E-02  3.277E-02   57.28 um    29.41 um    21.12 um  
