 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> July 30, 2022 
 ==================================================================

 Disk File Name = nitrogen_in_carbon01+oxygen02d0.422.srim.dat

 Ion = Nitrogen     [7] , Mass = 28.014 amu

 Density =  4.2203E-04 g/cm3 = 1.7325E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    027.29   
      O      8    066.67    072.71   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV/micron   
 See bottom of Table for other Stopping units 

 Ion = Nitrogen     [7] , Mass = 28.014 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.967E-03  4.629E-02   21.65 um     9.17 um     6.87 um  
   1.10 keV   5.210E-03  4.720E-02   23.10 um     9.70 um     7.27 um  
   1.20 keV   5.441E-03  4.801E-02   24.53 um    10.21 um     7.67 um  
   1.30 keV   5.663E-03  4.872E-02   25.94 um    10.71 um     8.05 um  
   1.40 keV   5.877E-03  4.936E-02   27.33 um    11.21 um     8.43 um  
   1.50 keV   6.083E-03  4.994E-02   28.70 um    11.69 um     8.80 um  
   1.60 keV   6.283E-03  5.045E-02   30.06 um    12.17 um     9.16 um  
   1.70 keV   6.476E-03  5.092E-02   31.41 um    12.64 um     9.51 um  
   1.80 keV   6.664E-03  5.134E-02   32.74 um    13.10 um     9.86 um  
   2.00 keV   7.025E-03  5.207E-02   35.38 um    14.01 um    10.55 um  
   2.25 keV   7.451E-03  5.281E-02   38.64 um    15.12 um    11.39 um  
   2.50 keV   7.854E-03  5.339E-02   41.85 um    16.20 um    12.21 um  
   2.75 keV   8.237E-03  5.386E-02   45.04 um    17.27 um    13.01 um  
   3.00 keV   8.603E-03  5.422E-02   48.19 um    18.32 um    13.79 um  
   3.25 keV   8.955E-03  5.450E-02   51.32 um    19.35 um    14.56 um  
