 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2012.01
              Calc. date   ---> August 09, 2022 
 ==================================================================

 Disk File Name = proton_in_carbon01+oxygen02d0.422.srim.dat

 Ion = Hydrogen     [1] , Mass = 1.008 amu

 Density =  4.2203E-04 g/cm3 = 1.7325E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    033.33    027.29   
      O      8    066.67    072.71   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV/micron   
 See bottom of Table for other Stopping units 

 Ion = Hydrogen     [1] , Mass = 1.008 amu

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.623E-03  7.428E-04   96.15 um    77.91 um    61.58 um  
   1.10 keV   4.848E-03  7.208E-04  105.34 um    82.72 um    65.75 um  
   1.20 keV   5.064E-03  7.002E-04  114.50 um    87.30 um    69.77 um  
   1.30 keV   5.271E-03  6.808E-04  123.61 um    91.68 um    73.65 um  
   1.40 keV   5.470E-03  6.627E-04  132.66 um    95.86 um    77.42 um  
   1.50 keV   5.661E-03  6.456E-04  141.67 um    99.88 um    81.06 um  
   1.60 keV   5.847E-03  6.295E-04  150.63 um   103.73 um    84.60 um  
   1.70 keV   6.027E-03  6.144E-04  159.53 um   107.43 um    88.04 um  
   1.80 keV   6.202E-03  6.000E-04  168.38 um   111.00 um    91.38 um  
   2.00 keV   6.537E-03  5.736E-04  185.92 um   117.72 um    97.82 um  
   2.25 keV   6.864E-03  5.442E-04  207.66 um   125.54 um   105.46 um  
   2.50 keV   7.170E-03  5.181E-04  229.23 um   132.83 um   112.71 um  
   2.75 keV   7.464E-03  4.949E-04  250.61 um   139.66 um   119.64 um  
   3.00 keV   7.747E-03  4.739E-04  271.79 um   146.08 um   126.26 um  
   3.25 keV   8.020E-03  4.550E-04  292.74 um   152.12 um   132.61 um  
